Id,SalePrice
2,105028234.65001091
4,129558679.70531276
6,107880828.69841415
7,77236646.52274422
17,119992056.7775968
18,130130358.58053172
22,106713678.359785
27,88092167.06251854
31,50848525.87977287
36,60235292.57547616
39,125671487.96252446
40,124302431.53112736
42,121127241.32763137
46,86617710.84046486
53,60275947.98425959
58,88405988.15822735
61,164776806.15471295
72,114855170.99048413
79,77141375.91282943
80,106325346.00314981
82,94322743.17116845
83,92983104.43085109
85,110740622.59967518
88,85730405.10604545
92,139195902.43888113
93,130074642.70596533
95,69659118.87083133
102,69387592.98120943
103,62476222.71908027
106,97111935.44170178
107,63356198.0429716
110,98743716.6440688
114,163998540.1573852
116,104153402.55227815
117,103758409.63185567
118,101701215.26945418
125,93470711.81565224
126,135232273.35956904
127,94749214.8963474
128,121882346.28853364
134,90873497.74350224
135,101927749.02167374
137,179772063.5697583
143,96683009.57266752
147,107974909.93533099
148,110628650.11996698
150,102104625.97547626
156,100063877.42049651
157,71615362.99539898
159,81716335.75943585
161,134296714.06799415
167,88353395.99199614
170,80144137.94949454
171,87656388.49159683
175,79990709.13811445
179,80510542.37730102
181,89456021.19779928
186,107589933.25051391
193,102452369.50483085
194,62350988.98935229
206,83399332.42024352
208,92706765.35144152
210,141019798.14855793
211,99930763.21066633
212,105562514.65190206
214,87068424.46716996
215,86812630.4026009
217,118745748.02215232
222,87062494.94848338
227,109323526.46041384
228,112401813.7060635
233,187996266.9529878
235,151796649.22290385
238,99617957.16682148
241,102159371.89148782
252,102868659.07181467
253,85831120.27921504
256,92161629.83269961
257,105271580.43341374
258,104249710.98378359
259,101696227.52156135
261,104687836.58091047
263,81035195.6515565
266,109586948.04632773
267,110025892.22633958
270,65023123.43004313
271,114860595.87821159
276,99598985.13664217
285,98639364.06044364
288,82341678.76679853
289,78728513.80930941
290,81218354.87578283
291,97858092.8398277
292,103006158.44484328
293,115132401.92169718
294,120926176.04781294
295,148903787.95571965
304,92365169.99022499
322,134478715.06271574
326,113217536.90560213
327,51103973.66800681
328,55680274.13492863
331,39576764.768991806
332,48166522.726036385
333,50409396.80201838
335,192473943.22611207
337,103059637.00016868
342,112478767.5981484
343,110924910.59513882
347,92606627.25990987
350,120161332.76050794
352,91867742.806527
358,99201468.23596123
359,98765682.27568276
360,83666982.81479631
368,129094887.75579582
369,147207745.42540193
373,119115580.91799843
377,139543012.8625136
383,112108441.28990829
386,95954867.27848636
387,101190262.15774661
390,108256149.4325955
391,102330343.04985656
395,86411855.46895353
397,90548628.21769889
398,79820446.15625751
401,98141908.19959791
404,62226169.56349831
408,53426497.124039866
409,70863764.78689785
410,61627963.00975033
418,50146453.65657821
422,161129229.49323988
427,134733104.6444079
431,137969627.03504407
433,163882960.35057798
437,203424999.82748342
438,118057102.42756696
442,139113452.56215096
447,104195731.55700722
459,104224957.39931284
460,86582925.3515403
464,64587520.398193285
465,106665313.87292437
467,116455252.98074979
468,113673931.03549574
474,60047791.16135357
480,104948901.43787204
481,99885915.23102638
483,79774710.94684128
488,97646832.49745919
492,187855846.75277904
494,87644186.81002702
499,142685933.10670343
500,123137056.49211915
501,124780960.71714352
503,113224986.59319374
506,223805289.47918952
508,118068783.66457842
511,118841362.65494138
515,105932375.24812716
519,99459439.20587584
521,122321755.4782381
530,109503782.43368454
532,103744717.90016682
534,97814103.61917914
540,115129215.40906356
541,113635860.31024206
551,104088653.66820474
552,95996302.77536805
554,84587682.12936518
555,93341893.05485736
556,81746059.85980634
557,87982601.04066001
565,122280590.60331745
566,89838015.37673773
567,63996378.75686969
569,76489618.80071278
570,74037434.98290806
574,70868162.63654815
575,144012863.7499782
576,70027115.292082
577,141126169.7441789
578,115427950.04503803
583,118528123.91741304
584,130380995.16953215
585,120003554.15998761
587,157439537.20453832
593,99924742.12446876
597,115171147.769978
598,144315030.18987328
599,102112243.48773424
600,82157474.79591358
605,119314632.5701159
607,100442976.26477346
608,109511560.11410415
611,118197733.9829034
616,81463956.9299732
625,104206808.66996893
629,123770460.8889556
630,119602343.6515551
631,95545977.83205473
640,160488749.14096895
642,111509393.49577902
643,88083428.72679773
646,97921385.1123338
647,118108817.69184293
655,65085714.764146924
659,84736768.04640608
663,59074910.322093435
665,95907243.26498619
667,121655919.15263338
673,98091450.13670434
676,112051963.2892824
680,95075116.33379923
682,89094488.3695217
687,92583731.54707843
688,94873188.35475382
692,65897780.011048876
693,98762681.32818507
695,114530686.96037643
697,128635103.42044143
700,97638742.65123513
702,97679063.23041941
703,62331807.06246376
704,100681523.19162396
712,81184546.41114451
713,69037999.15717952
717,132758030.05334774
720,150460498.63625184
721,51547540.98767001
726,101232541.77427138
733,86670460.74463966
736,77107748.55382681
738,74764265.37015766
741,81718692.71630634
743,65738888.9057503
745,72524567.74502026
750,96882453.04098457
756,77145147.58595443
757,75973338.28144605
758,86036080.34285827
760,68123687.49760981
765,106777287.29873896
775,80805665.50291345
776,88910030.29600503
780,143568423.5401807
783,196058449.49188918
790,94995615.8132185
795,96431995.56305137
796,66742257.268978745
797,114738718.74111873
798,92597559.86342248
804,105960167.68643573
805,115407388.10825007
806,114366639.09266312
808,82962276.1859093
814,89599539.88656409
818,118740701.96391284
821,111131441.53263178
822,122415679.19409885
825,128644478.89990959
827,108977995.30148217
830,89512834.3601764
834,151153074.9644743
835,219391861.93379945
842,88234108.54424822
845,101912060.81152758
852,112772913.07990704
857,79102508.79904987
858,97005886.39478843
859,125370189.98608722
860,81696945.42395349
861,78199068.91258553
864,128666569.62033924
868,99590490.98444284
869,116473151.8258571
872,135394535.0309108
873,103336590.23962572
885,86495646.86288942
890,103555097.4413461
895,73711737.83779529
899,91318507.10220614
906,81899332.06420405
918,80512437.07912734
923,130411015.30946979
925,85517289.16964523
927,92706225.33340618
932,158481322.46495953
933,47417152.48037372
934,51979501.53841696
942,75391286.68131877
947,116213577.76826108
948,139039995.17450452
951,95910413.41761436
957,1272289229.839764
958,130859393.84739874
959,124100977.34561974
963,117140137.01758039
967,106664756.85769334
968,147278622.7941696
971,169397517.1628756
972,74053529.53651452
976,42584167.3595211
978,42108977.15814927
979,50370839.97694332
984,87123710.11893901
986,123154830.77215952
991,135011324.26026237
996,104396932.05978847
1001,91623579.4506538
1007,110174984.01801728
1008,131944211.95240636
1009,74062828.66626145
1014,219540301.8784211
1022,141127064.67510986
1024,123196904.19227266
1027,98967372.38475752
1030,106616321.53110658
1032,104429851.92853096
1035,97888629.72562993
1042,51024152.86340869
1047,66014367.36546878
1050,91286990.76808697
1055,129655100.84769714
1059,155418299.1129934
1061,139681892.21488476
1064,155310300.31544492
1077,82168088.45636228
1081,76976792.77371214
1092,92689649.5985129
1093,110248900.32642913
1095,136241365.20531178
1099,117646851.85897452
1101,144595224.7305534
1103,136328243.66405883
1109,126471472.82387921
1112,136482151.4645397
1113,119049917.79402617
1114,131849389.56142476
1116,110234708.88946845
1117,117702149.52012843
1119,112016691.28347683
1121,95643368.31987557
1122,95385719.28207272
1125,110972757.84511366
1137,122913162.97160114
1142,104443535.57012397
1144,99769023.04769675
1145,99082381.0516143
1147,104794153.68241148
1148,97454178.11306101
1149,89174317.88605133
1150,87345613.1979773
1153,88444305.70460477
1154,70181207.77572344
1159,138128474.50747862
1161,64830872.16729409
1167,63440232.2122739
1171,80457142.98075953
1174,60500859.33743594
1188,117425830.96734954
1189,110305464.2749057
1191,106125789.25638509
1195,84786368.84242861
1199,127043120.6336007
1201,107264338.41451874
1204,113645539.65500848
1211,97764426.32605633
1214,100381146.84231634
1219,107256628.66228473
1220,67037045.06662025
1227,107681412.8889113
1229,131936137.63830186
1231,89366625.74590269
1234,142049427.40751705
1235,86982482.93275943
1239,107906129.33238454
1240,90514696.12475148
1241,129193839.60680741
1246,100960183.78607513
1249,124044233.61888684
1250,84502760.40561293
1252,96499098.82619753
1259,108582278.33077604
1267,83810580.60637727
1269,75908981.23125635
1270,95056392.2752134
1272,86627514.85622947
1274,90196482.95052694
1276,76161203.52454214
1279,89822441.34066911
1281,93937642.07301842
1286,105272982.64841446
1287,94721496.3808708
1290,58586663.75144859
1291,78494094.89130186
1297,109918876.97095923
1302,100256116.14085217
1303,67415278.23052011
1312,87444817.20888066
1315,78405543.76005837
1322,102310930.2031483
1327,87414389.00499465
1331,90372326.03271748
1333,71810612.80399285
1334,71729361.61967504
1336,71362818.83894964
1341,71744654.11722796
1344,65565848.56462212
1347,89271101.10741249
1348,85364005.70407178
1353,104336296.4975949
1355,99397785.61812936
1356,93806351.3270838
1357,95947253.56518437
1361,105663271.35920162
1364,79737478.89346705
1368,71904515.0513759
1369,90951505.64033785
1371,102688204.48413837
1373,89374032.55107987
1374,160925670.69763425
1387,121137101.57926722
1388,89796422.98647796
1392,126301920.96426214
1394,123910575.96725392
1406,102724179.72152366
1407,315564053.60857385
1408,163531568.5131935
1409,172028252.82142958
1411,106936063.82437941
1412,92112997.7619826
1413,96378154.36783002
1414,92157503.88012208
1425,105548798.75488004
1430,115790652.60529968
1431,121005006.2637071
1435,104027296.01198982
1441,126305292.76129998
1444,118138298.97761746
1445,90452852.01623426
1446,89251934.29116587
